                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.6258,                 1.2262,                 1.2827,                0.79948,                 0.6564,                 0.7391,                0.42912,                 1.6553,                 1.2005,                 1.3321,               0.005677,               0.005677,               0.005677
                    133,                 1.6272,                 1.2302,                 1.2857,                0.79089,                0.66133,                0.74223,                0.42999,                 1.6544,                 1.1977,                 1.3322,               0.005644,               0.005644,               0.005644
                    134,                 1.6299,                 1.2298,                 1.2826,                0.80028,                0.66409,                 0.7436,                0.43094,                 1.6508,                 1.1942,                 1.3307,               0.005611,               0.005611,               0.005611
                    135,                 1.6302,                 1.2318,                 1.2879,                0.79899,                0.67105,                0.74447,                0.43119,                 1.6491,                 1.1929,                 1.3312,               0.005578,               0.005578,               0.005578
                    136,                 1.6335,                 1.2346,                  1.275,                0.79404,                0.66413,                0.74325,                0.43159,                 1.6484,                 1.1929,                 1.3314,               0.005545,               0.005545,               0.005545
                    137,                 1.6146,                 1.2173,                 1.2742,                0.79863,                0.67122,                 0.7436,                0.43143,                 1.6512,                 1.1919,                 1.3322,               0.005512,               0.005512,               0.005512
                    138,                 1.6451,                 1.2464,                 1.2808,                0.79849,                0.67574,                0.74529,                0.43185,                 1.6496,                 1.1912,                 1.3302,               0.005479,               0.005479,               0.005479
                    139,                 1.6319,                 1.2204,                 1.2812,                0.81501,                0.66669,                0.74884,                 0.4333,                 1.6479,                 1.1867,                 1.3306,               0.005446,               0.005446,               0.005446
                    140,                 1.6284,                 1.2332,                 1.2777,                0.81086,                0.67204,                 0.7475,                0.43117,                 1.6471,                 1.1864,                 1.3295,               0.005413,               0.005413,               0.005413
                    141,                   1.62,                  1.215,                 1.2746,                0.81238,                0.66746,                0.75007,                0.43392,                 1.6476,                 1.1876,                 1.3294,                0.00538,                0.00538,                0.00538
                    142,                 1.6196,                  1.231,                 1.2775,                0.80947,                0.66746,                0.74985,                0.43573,                 1.6463,                 1.1855,                  1.329,               0.005347,               0.005347,               0.005347
                    143,                 1.6206,                 1.2164,                 1.2726,                0.80068,                0.67161,                0.75071,                0.43568,                 1.6438,                 1.1843,                 1.3279,               0.005314,               0.005314,               0.005314
                    144,                 1.6125,                 1.2096,                 1.2742,                0.80107,                0.66426,                0.75105,                0.43816,                 1.6412,                 1.1817,                 1.3263,               0.005281,               0.005281,               0.005281
                    145,                 1.6212,                 1.2142,                 1.2674,                0.79778,                0.67041,                0.75203,                0.43923,                 1.6419,                 1.1792,                 1.3263,               0.005248,               0.005248,               0.005248
                    146,                  1.605,                 1.2025,                 1.2645,                0.78843,                0.67363,                0.75072,                0.44039,                 1.6404,                 1.1799,                 1.3264,               0.005215,               0.005215,               0.005215
                    147,                  1.593,                 1.1915,                 1.2574,                0.80061,                0.66664,                 0.7508,                0.43994,                 1.6401,                 1.1791,                  1.326,               0.005182,               0.005182,               0.005182
                    148,                 1.6116,                 1.2042,                 1.2737,                0.80727,                0.66583,                0.75073,                0.43953,                 1.6405,                 1.1793,                 1.3265,               0.005149,               0.005149,               0.005149
                    149,                 1.6072,                 1.2006,                 1.2661,                0.80582,                0.67196,                0.75259,                0.43916,                 1.6408,                 1.1772,                 1.3261,               0.005116,               0.005116,               0.005116
                    150,                  1.605,                 1.2028,                 1.2642,                0.80899,                0.67204,                0.75263,                0.43884,                 1.6426,                 1.1773,                 1.3259,               0.005083,               0.005083,               0.005083
